time,value
1,10.5
2,11.2
3,12.1
4,13.4
5,14.2
6,15.0
7,14.8
8,14.5
9,14.9
10,15.5
11,16.2
12,16.8
13,17.3
14,17.9
15,18.2
16,18.5
17,18.0
18,17.5
19,17.2
20,17.8
21,18.3
22,18.9
23,19.5
24,19.8
25,20.1
26,20.4
27,20.7
28,21.0
29,21.2
30,21.5
31,21.8
32,22.0
33,22.3
34,22.6
35,22.9
36,23.2
37,23.5
38,23.8
39,24.1
40,24.4
41,24.7
42,25.0
43,25.3
44,25.6
45,25.9
46,26.2
47,26.5
48,26.8
49,27.1
50,27.4
51,27.7
52,28.0
53,28.3
54,28.6
55,28.9
56,29.2
57,29.5
58,29.8
59,30.1
60,30.4
61,30.7
62,31.0
63,31.3
64,31.6
65,31.9
66,32.2
67,32.5
68,32.8
69,33.1
70,33.4
71,33.7
72,34.0
73,34.3
74,34.6
75,34.9
76,35.2
77,35.5
78,35.8
79,36.1
80,36.4
81,36.7
82,37.0
83,37.3
84,37.6
85,37.9
86,38.2
87,38.5
88,38.8
89,39.1
90,39.4
91,39.7
92,40.0
93,40.3
94,40.6
95,40.9
96,41.2
97,41.5
98,41.8
99,42.1
100,42.4
101,42.7
102,43.0
103,43.3
104,43.6
105,43.9
106,44.2
107,44.5
108,44.8
109,45.1
110,45.4
111,45.7
112,46.0
113,46.3
114,46.6
115,46.9
116,47.2
117,47.5
118,47.8
119,48.1
120,48.4
121,48.7
122,49.0
123,49.3
124,49.6
125,49.9
126,50.2
127,50.5
128,50.8
129,51.1
130,51.4
131,51.7
132,52.0
133,52.3
134,52.6
135,52.9
136,53.2
137,53.5
138,53.8
139,54.1
140,54.4
141,54.7
142,55.0
143,55.3
144,55.6
145,55.9
146,56.2
147,56.5
148,56.8
149,57.1
150,57.4
151,57.7
152,58.0
153,58.3
154,58.6
155,58.9
156,59.2
157,59.5
158,59.8
159,60.1
160,60.4
161,60.7
162,61.0
163,61.3
164,61.6
165,61.9
166,62.2
167,62.5
168,62.8
169,63.1
170,63.4
171,63.7
172,64.0
173,64.3
174,64.6
175,64.9
176,65.2
177,65.5
178,65.8
179,66.1
180,66.4
181,66.7
182,67.0
183,67.3
184,67.6
185,67.9
186,68.2
187,68.5
188,68.8
189,69.1
190,69.4
191,69.7
192,70.0
193,70.3
194,70.6
195,70.9
196,71.2
197,71.5
198,71.8
199,72.1
200,72.4
